epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2396.67,1.42515,1.73895,1.11963,0.44681,0.26399,0.20765,0.15201,1.35953,1.88031,1.19099,0.000310969,0.000310969,0.000310969
43,2457.02,1.34014,1.74079,1.13523,0.39995,0.2415,0.20035,0.15443,1.29625,1.87199,1.15355,0.000293246,0.000293246,0.000293246
44,2509.32,1.46608,1.72498,1.10252,0.42846,0.30326,0.21633,0.16564,1.30705,1.89986,1.16593,0.000275781,0.000275781,0.000275781
45,2564.63,1.36928,1.66321,1.0864,0.41264,0.28256,0.2136,0.15594,1.35082,1.91835,1.20814,0.000258607,0.000258607,0.000258607
46,2623.48,1.34866,1.65432,1.11296,0.26055,0.33474,0.23622,0.177,1.31024,1.93308,1.17028,0.00024176,0.00024176,0.00024176
47,2686.28,1.31521,1.62724,1.1072,0.43139,0.28917,0.25459,0.19081,1.32646,1.78813,1.19464,0.000225272,0.000225272,0.000225272
48,2753.59,1.29434,1.63076,1.13572,0.42216,0.29722,0.23943,0.18593,1.30032,1.79019,1.16356,0.000209179,0.000209179,0.000209179
49,2811.25,1.34216,1.56812,1.08124,0.48671,0.24768,0.21429,0.16336,1.30358,1.85311,1.17647,0.000193511,0.000193511,0.000193511
50,2870.11,1.33374,1.54671,1.07866,0.41973,0.33534,0.23704,0.17666,1.28915,1.82574,1.17783,0.000178301,0.000178301,0.000178301
51,2927.39,1.23782,1.50021,1.08157,0.4716,0.30978,0.24621,0.19448,1.29316,1.82688,1.18043,0.000163578,0.000163578,0.000163578
52,2981.79,1.28883,1.52399,1.08724,0.53982,0.27173,0.25444,0.19973,1.27295,1.83713,1.15921,0.000149374,0.000149374,0.000149374
53,3042.54,1.22506,1.49638,1.05894,0.45127,0.30426,0.24819,0.19583,1.26608,1.80601,1.16886,0.000135716,0.000135716,0.000135716
54,3100.89,1.28732,1.51133,1.0816,0.43584,0.30559,0.2407,0.18572,1.24172,1.77363,1.14734,0.000122631,0.000122631,0.000122631
55,3157.41,1.21623,1.47671,1.05565,0.42686,0.26845,0.23174,0.18395,1.24939,1.79478,1.14705,0.000110147,0.000110147,0.000110147
56,3212.06,1.2277,1.41689,1.04917,0.39276,0.31628,0.24656,0.19274,1.25966,1.75853,1.14658,9.82885e-05,9.82885e-05,9.82885e-05
57,3265.77,1.16587,1.3828,1.04949,0.42685,0.29623,0.25725,0.20079,1.27538,1.78642,1.16427,8.7079e-05,8.7079e-05,8.7079e-05
58,3322.33,1.32746,1.45682,1.05477,0.39184,0.31583,0.24738,0.19109,1.25919,1.78986,1.16417,7.65412e-05,7.65412e-05,7.65412e-05
59,3379.76,1.25086,1.43149,1.05666,0.50717,0.27418,0.26394,0.20922,1.26034,1.75442,1.15896,6.66965e-05,6.66965e-05,6.66965e-05
60,3438.32,1.23123,1.4224,1.05662,0.33345,0.31409,0.25774,0.2012,1.25117,1.74293,1.15958,5.75646e-05,5.75646e-05,5.75646e-05
61,3499.15,1.18486,1.3377,1.03023,0.2772,0.28697,0.24324,0.19247,1.24137,1.74794,1.14141,4.9164e-05,4.9164e-05,4.9164e-05
62,3555.74,1.12802,1.31838,1.00739,0.30714,0.31498,0.26271,0.20603,1.23579,1.71479,1.15028,4.15115e-05,4.15115e-05,4.15115e-05
63,3609.36,1.15956,1.27812,1.00949,0.43195,0.30724,0.26196,0.20047,1.23842,1.74622,1.14739,3.46226e-05,3.46226e-05,3.46226e-05
64,3666.91,1.0908,1.27516,1.00071,0.42652,0.27963,0.25831,0.19921,1.25632,1.75807,1.15286,2.85111e-05,2.85111e-05,2.85111e-05
65,3721.86,1.13943,1.34543,1.01592,0.31161,0.31819,0.26001,0.20048,1.25491,1.74644,1.16645,2.31894e-05,2.31894e-05,2.31894e-05
66,3781.03,1.0923,1.27911,1.00162,0.4548,0.31093,0.26122,0.20221,1.24623,1.7309,1.15206,1.86681e-05,1.86681e-05,1.86681e-05
67,3839.27,1.10173,1.28179,1.01759,0.47146,0.31608,0.26749,0.20457,1.23844,1.74173,1.14835,1.49564e-05,1.49564e-05,1.49564e-05
68,3897.68,1.1537,1.26337,1.00586,0.42532,0.31562,0.2637,0.20419,1.2599,1.7336,1.15505,1.20617e-05,1.20617e-05,1.20617e-05
69,3958.36,1.05897,1.2459,1.00173,0.44813,0.30439,0.26502,0.206,1.24701,1.72104,1.15085,9.98994e-06,9.98994e-06,9.98994e-06
70,4014.52,1.14545,1.24923,1.00073,0.45864,0.299,0.26353,0.20563,1.23834,1.71974,1.14942,8.74519e-06,8.74519e-06,8.74519e-06
